p,power,initial_avg_query_norm,initial_avg_ref_norm,final_avg_query_norm,final_avg_ref_norm
2,1,0.7951812744140625,7.960690021514893,1.0,1.0
2,1,0.9209936857223511,7.960690021514893,1.0,1.0
2,1,0.8263273239135742,7.960690021514893,1.0,1.0
2,1,1.05816650390625,7.960690021514893,1.0,1.0
2,1,0.8607088327407837,7.960690021514893,1.0,1.0
2,1,0.8302478790283203,7.960690021514893,1.0,1.0
2,1,0.7907350659370422,7.960690021514893,1.0,1.0
2,1,0.7869714498519897,7.960690021514893,1.0,1.0
2,1,0.8448563814163208,7.960690021514893,1.0,1.0
2,1,0.8471685647964478,7.960690021514893,1.0,1.0
2,1,0.8471301794052124,7.960690021514893,1.0,1.0
2,1,0.8970015645027161,7.960690021514893,1.0,1.0
2,1,0.7895787358283997,7.960690021514893,1.0,1.0
2,1,0.8633475303649902,7.960690021514893,1.0,1.0
2,1,0.8359518051147461,7.960690021514893,1.0,1.0
2,1,0.7647093534469604,7.960690021514893,1.0,1.0
2,1,0.7350303530693054,7.960690021514893,1.0,1.0
2,1,0.9339839816093445,7.960690021514893,1.0,1.0
2,1,0.7304673194885254,7.960690021514893,1.0,1.0
2,1,0.7914234399795532,7.960690021514893,1.0,1.0
2,1,0.7806559205055237,7.960690021514893,1.0,1.0
2,1,0.7480456233024597,7.960690021514893,1.0,1.0
2,1,0.7759864330291748,7.960690021514893,1.0,1.0
2,1,0.779512882232666,7.960690021514893,1.0,1.0
2,1,0.8684679865837097,7.960690021514893,1.0,1.0
2,1,0.7511295080184937,7.960690021514893,1.0,1.0
2,1,0.7608839273452759,7.960690021514893,1.0,1.0
2,1,0.8469136357307434,7.960690021514893,1.0,1.0
2,1,0.8046651482582092,7.960690021514893,1.0,1.0
2,1,0.7887430191040039,7.960690021514893,1.0,1.0
2,1,0.8451759815216064,7.960690021514893,1.0,1.0
2,1,0.7663980722427368,7.960690021514893,1.0,1.0
2,1,0.7106040716171265,7.960690021514893,1.0,1.0
2,1,0.7563335299491882,7.960690021514893,1.0,1.0
2,1,0.8352046608924866,7.960690021514893,1.0,1.0
2,1,0.7530214786529541,7.960690021514893,1.0,1.0
2,1,0.7641558647155762,7.960690021514893,1.0,1.0
2,1,0.7959331274032593,7.960690021514893,1.0,1.0
2,1,0.7833396196365356,7.960690021514893,1.0,1.0
2,1,0.8135136365890503,7.960690021514893,1.0,1.0
2,1,0.6910285949707031,7.960690021514893,1.0,1.0
2,1,0.7990897297859192,7.960690021514893,1.0,1.0
2,1,0.7422605752944946,7.960690021514893,1.0,1.0
2,1,0.7931603193283081,7.960690021514893,1.0,1.0
2,1,0.7587063312530518,7.960690021514893,1.0,1.0
2,1,0.7320968508720398,7.960690021514893,1.0,1.0
2,1,0.7505738735198975,7.960690021514893,1.0,1.0
2,1,0.6792168021202087,7.960690021514893,1.0,1.0
2,1,0.8330100178718567,7.960690021514893,1.0,1.0
2,1,0.674039900302887,7.960690021514893,1.0,1.0
2,1,0.7032433152198792,7.960690021514893,1.0,1.0
2,1,0.6962072253227234,7.960690021514893,1.0,1.0
2,1,0.7060060501098633,7.960690021514893,1.0,1.0
2,1,0.6607919335365295,7.960690021514893,1.0,1.0
2,1,0.6525252461433411,7.960690021514893,1.0,1.0
2,1,0.6880731582641602,7.960690021514893,1.0,1.0
2,1,0.7094295024871826,7.960690021514893,1.0,1.0
2,1,0.6883463859558105,7.960690021514893,1.0,1.0
2,1,0.7006101608276367,7.960690021514893,1.0,1.0
2,1,0.7172098159790039,7.960690021514893,1.0,1.0
2,1,0.7482109665870667,7.960690021514893,1.0,1.0
2,1,0.6738536357879639,7.960690021514893,1.0,1.0
2,1,0.5988390445709229,7.960690021514893,1.0,1.0
2,1,0.7189846038818359,7.960690021514893,1.0,1.0
2,1,0.6323468685150146,7.960690021514893,1.0,1.0
2,1,0.6809474229812622,7.960690021514893,1.0,1.0
2,1,0.7407633066177368,7.960690021514893,1.0,1.0
2,1,0.6997628211975098,7.960690021514893,1.0,1.0
2,1,0.6563487648963928,7.960690021514893,1.0,1.0
2,1,0.5977978110313416,7.960690021514893,1.0,1.0
2,1,0.6418637037277222,7.960690021514893,1.0,1.0
2,1,0.7168535590171814,7.960690021514893,1.0,1.0
2,1,0.6553531289100647,7.960690021514893,1.0,1.0
2,1,0.6397919654846191,7.960690021514893,1.0,1.0
2,1,0.6937061548233032,7.960690021514893,1.0,1.0
2,1,0.5929286479949951,7.960690021514893,1.0,1.0
2,1,0.7157471179962158,7.960690021514893,1.0,1.0
2,1,0.6418052911758423,7.960690021514893,1.0,1.0
2,1,0.6491645574569702,7.960690021514893,1.0,1.0
2,1,0.7399104833602905,7.960690021514893,1.0,1.0
2,1,0.6456408500671387,7.960690021514893,1.0,1.0
2,1,0.5987769961357117,7.960690021514893,1.0,1.0
2,1,0.6959559917449951,7.960690021514893,1.0,1.0
2,1,0.64943528175354,7.960690021514893,1.0,1.0
2,1,0.6963847875595093,7.960690021514893,1.0,1.0
2,1,0.6377524137496948,7.960690021514893,1.0,1.0
2,1,0.7102240324020386,7.960690021514893,1.0,1.0
2,1,0.6887178421020508,7.960690021514893,1.0,1.0
2,1,0.6780710220336914,7.960690021514893,1.0,1.0
2,1,0.6702182292938232,7.960690021514893,1.0,1.0
2,1,0.6079293489456177,7.960690021514893,1.0,1.0
2,1,0.6333180665969849,7.960690021514893,1.0,1.0
2,1,0.7221874594688416,7.960690021514893,1.0,1.0
2,1,0.6272665858268738,7.960690021514893,1.0,1.0
2,1,0.6450580358505249,7.960690021514893,1.0,1.0
2,1,0.7081565856933594,7.960690021514893,1.0,1.0
2,1,0.6669667959213257,7.960690021514893,1.0,1.0
2,1,0.640850305557251,7.960690021514893,1.0,1.0
2,1,0.7022821307182312,7.960690021514893,1.0,1.0
2,1,0.6635816097259521,7.960690021514893,1.0,1.0
2,1,0.5975898504257202,7.960690021514893,1.0,1.0
2,1,0.6324084997177124,7.960690021514893,1.0,1.0
2,1,0.6335805654525757,7.960690021514893,1.0,1.0
2,1,0.6628736257553101,7.960690021514893,1.0,1.0
2,1,0.6719528436660767,7.960690021514893,1.0,1.0
2,1,0.6749573945999146,7.960690021514893,1.0,1.0
2,1,0.7011585235595703,7.960690021514893,1.0,1.0
2,1,0.625973105430603,7.960690021514893,1.0,1.0
2,1,0.7275794744491577,7.960690021514893,1.0,1.0
2,1,0.5702927112579346,7.960690021514893,1.0,1.0
2,1,0.6498094201087952,7.960690021514893,1.0,1.0
2,1,0.6626033782958984,7.960690021514893,1.0,1.0
